"Age" "Water" "Gender"
"1" 25 1.43925648462621 "female"
"2" 22 1.01962067932849 "female"
"3" 29 3.36555416428344 "female"
"4" 21 1.46755610406649 "female"
"5" 26 2.71812295449586 "male"
"6" 30 3.32763858373572 "female"
"7" 25 4.88207593725068 "female"
"8" 22 2.36180415893085 "female"
"9" 24 2.40725379613591 "female"
"10" 22 0.0216173953147152 "male"
"11" 19 2.03393913960221 "female"
"12" 24 3.31686276849409 "male"
"13" 19 3.03892130268734 "male"
"14" 30 3.12142214304184 "female"
"15" 23 2.41376101968389 "female"
"16" 26 2.10507031423285 "male"
"17" 21 1.63618827815322 "male"
"18" 18 1.20301322562086 "male"
"19" 21 2.66146972969817 "female"
"20" 20 1.55089841400495 "male"
"21" 26 2.38595085441144 "male"
"22" 18 0.722585677045083 "female"
"23" 21 0.317880665923247 "female"
"24" 23 2.75082571929925 "female"
"25" 22 2.97850926271879 "female"
"26" 27 2.41527167232903 "female"
"27" 29 4.51685629987524 "male"
"28" 20 3.78097492790092 "female"
"29" 22 2.09929516279914 "female"
"30" 27 0.894822449105299 "male"
"31" 18 0.951472029222601 "female"
"32" 18 0.647594861921165 "male"
"33" 23 1.92757192827968 "male"
"34" 29 3.95588884220755 "male"
"35" 30 4.9851950750321 "female"
"36" 18 1.29286171013815 "male"
"37" 26 1.78955403727052 "female"
"38" 25 3.57980145088083 "male"
"39" 22 2.09112353034988 "female"
"40" 20 0.956947154706841 "female"
"41" 26 3.29999467173504 "female"
"42" 19 3.53967420872251 "male"
"43" 19 3.18360160961561 "female"
"44" 23 2.01700301744616 "male"
"45" 19 1.07173541627942 "female"
"46" 25 3.66832899481183 "female"
"47" 23 1.71210429181261 "male"
"48" 30 4.15604061281749 "male"
"49" 19 2.98060618671357 "female"
"50" 18 2.27069354193899 "male"
